last_update,city,facility,outlet_id,item_id,product_id,name,unit,l0,l1,l2,manf,brand,product_type,storage_type,asst_state,act_qty,blocked_qty,net_qty
12/31/2019,Bengaluru,Super Store Bangalore (MODI),116,10004812,55413,Pond's Pure White Facial Foam 50 gm,50 gm,Personal Care,Face Care,More Face Products,HINDUSTAN UNILEVER LTD,Pond's,Facial Foam,regular,Other,0,0,0
12/31/2019,Bengaluru,Super Store Bangalore (MODI),116,10010804,266724,Bali Kitchen Tomato & Carrot Noodles 200 gm,200 gm,"Noodles, Sauces & Instant Food",Noodles & Vermicelli,Hakka Noodles,VIGHNESH TRADELINKS,Bali Kitchen,Noodles,regular,Other,0,0,0
12/31/2019,Bengaluru,Super Store Bangalore (MODI),116,10015281,342234,Godrej Aer Pocket Bathroom Freshener Room Freshener - Pack of 3 - Brand Offer 1 unit,1 unit,Household Items,Home & Car Fresheners,Air Fresheners,GODREJ CONSUMER PRODUCTS LTD,Godrej Aer,Room Freshener,regular,Active,13,1,12
12/31/2019,Bengaluru,Super Store Bangalore B2 (MODI),363,10015281,342234,Godrej Aer Pocket Bathroom Freshener Room Freshener - Pack of 3 - Brand Offer 1 unit,1 unit,Household Items,Home & Car Fresheners,Air Fresheners,GODREJ CONSUMER PRODUCTS LTD,Godrej Aer,Room Freshener,regular,Active,13,0,13
12/31/2019,Bengaluru,Super Store Bangalore (MODI),116,10017657,112270,Phalada Pure & Sure Organic Tomato & Basil Pasta Sauce 500 gm,500 gm,"Noodles, Sauces & Instant Food",Sauces & Ketchups,Tomato Ketchup & Sauces,PHALADA AGRO RESEARCH FOUNDATIONS PVT LTD,Phalada Pure & Sure,Sauce,regular,Other,0,0,0
12/31/2019,Bengaluru,Super Store Bangalore (MODI),116,10022448,362258,Quaker Nutri Dosa Instant Mix (Pouch) 150 gm,150 gm,"Noodles, Sauces & Instant Food",Ready Made Meals & Mixes,Breakfast Mixes,PEPSI CO FOOD,Quaker,Instant Mix,regular,Other,0,0,0
12/31/2019,Jaipur,Super Store Jaipur New (SSC),334,10001097,11160,Brooke Bond Red Label Natural Care Tea (Carton) 250 g,250 g,Beverages,Tea & Coffee,Tea,HINDUSTAN UNILEVER LTD,Brooke Bond Red Label,Tea,regular,Other,0,0,0
12/31/2019,Jaipur,Super Store Jaipur New (SSC),334,10007930,248,Brooke Bond Red Label Natural Care Tea (Carton) 500 g,500 g,Beverages,Tea & Coffee,Tea,HINDUSTAN UNILEVER LTD,Brooke Bond Red Label,Tea,regular,Other,0,0,0
12/31/2019,Kolkata,Super Store Kolkata K2 (MODI),369,10002364,23820,Colgate Sensitive Toothpaste 80 g,80 g,Personal Care,Oral Care,Toothpaste,COLGATE PALMOLIVE INDIA LTD,Colgate Sensitive,Toothpaste,regular,Other,0,0,0
,,,,,,,,,,,,,,,,,,
